Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),strength
8.14325284978472,0.0,0.0,5.45136177849642,1.3572088082974532,10.131594038201774,8.776382955329128,3.036588971875663,4.308689836358402
8.14325284978472,0.0,0.0,5.45136177849642,1.3572088082974532,10.180071302812415,8.776382955329128,3.036588971875663,3.9555495354497916
6.927829911179231,5.223219634111594,0.0,6.109114744289606,0.0,9.767992199474914,8.40611799196616,6.463304070095651,3.427629536241902
6.927829911179231,5.223219634111594,0.0,6.109114744289606,0.0,9.767992199474914,8.40611799196616,7.146569498815023,3.449618385291249
5.8343580966094875,5.096781257474105,0.0,5.768998281229633,0.0,9.927475288177279,9.380781618893067,7.113786608980125,3.538353687760246
6.431227591379625,4.848807585839879,0.0,6.109114744289606,0.0,9.767992199474914,8.750340122833274,4.481404746557165,3.6095937521635815
7.24315644344174,4.562902635386966,0.0,6.109114744289606,0.0,9.767992199474914,8.40611799196616,7.146569498815023,3.522306511723273
7.24315644344174,4.562902635386966,0.0,6.109114744289606,0.0,9.767992199474914,8.40611799196616,3.036588971875663,3.315628348776348
6.431227591379625,4.848807585839879,0.0,6.109114744289606,0.0,9.767992199474914,8.750340122833274,3.036588971875663,3.5791490127995247
7.802453753539424,0.0,0.0,6.109114744289606,0.0,9.767992199474914,8.40611799196616,3.036588971875663,3.3995962611711183
5.8343580966094875,5.096781257474105,0.0,5.768998281229633,0.0,9.927475288177279,9.380781618893067,4.481404746557165,3.3640385113622995
5.8343580966094875,5.096781257474105,0.0,5.768998281229633,0.0,9.927475288177279,9.380781618893067,3.036588971875663,3.0373117971759647
